date,open,high,low,close,volume
2022-11-22,95.6034,96.8688,93.7103,96.6994,23523446
2022-11-23,96.7393,98.4033,96.7393,98.1044,18936490
2022-11-25,97.8852,98.2837,97.0482,97.108,9736609
2022-11-28,96.6859,97.2275,95.2646,95.7031,26347600
2022-11-29,95.3843,95.7728,93.77,94.8462,20134445
2022-11-30,94.4775,100.675,94.079,100.625,43805707
2022-12-01,100.655,101.881,99.8875,100.625,28791089
2022-12-02,98.6922,100.406,98.5428,100.077,21558572
2022-12-05,99.0409,101.014,98.6424,99.1207,24493557
2022-12-06,98.9414,99.4196,96.0718,96.6297,25000958
2022-12-07,96.0618,96.5312,94.3728,94.5971,31157991
2022-12-08,95.0355,95.2348,93.1125,93.3716,32330064
2022-12-09,93.4313,93.9195,92.415,92.4947,28327768
2022-12-12,92.3751,93.2221,91.2791,92.9729,29114173
2022-12-13,97.4069,99.1705,94.6868,95.2846,40740812
2022-12-14,94.8562,96.5201,93.2619,94.7266,28837761
2022-12-15,92.7936,93.3018,89.6849,90.5317,40252425
2022-12-16,90.4323,91.0001,89.1967,89.9339,58222145
2022-12-19,89.9289,90.2329,87.8914,88.1205,29599945
2022-12-20,87.7918,88.853,87.1243,88.6984,23538858
2022-12-21,88.7583,89.8942,88.001,89.2564,24835342
2022-12-22,87.8415,88.2202,86.0081,87.443,27758557
2022-12-23,86.7953,89.2215,86.7555,88.9077,23086423
2022-12-27,88.4743,88.6187,86.6957,87.0743,20170200
2022-12-28,86.6659,87.7221,85.6296,85.7093,19593949
2022-12-29,86.3071,88.524,86.2972,88.1305,23418123
2022-12-30,86.6659,87.9811,86.2573,87.9113,24073249
2023-01-03,89.2614,90.7211,88.2002,88.798,28233202
2023-01-04,90.0236,90.3226,86.9558,87.7618,34981128
2023-01-05,87.154,87.2537,85.5897,85.8887,27292957
2023-01-06,86.4765,87.3733,84.5535,87.0246,41531507
2023-01-09,88.0408,89.7248,87.5427,87.7021,29109043
2023-01-10,85.6694,88.3496,85.52,88.1006,30578203
2023-01-11,88.858,91.2692,88.6886,91.1895,26959346
2023-01-12,91.1495,91.5382,89.4258,90.8008,30367823
2023-01-13,90.5219,91.857,89.8044,91.7873,26424658
2023-01-17,91.7275,91.9168,89.7248,90.9603,32720610
2023-01-18,91.8072,92.4647,90.3126,90.7908,29222241
2023-01-19,90.3923,93.2669,90.3026,92.7138,37134525
2023-01-20,94.7565,97.9449,94.6768,97.666,63420152
2023-01-23,97.5961,99.6787,97.1478,99.4295,40150077
2023-01-24,97.7456,99.2502,96.8489,97.3471,33198424
2023-01-25,95.2248,95.8147,93.4213,94.8761,42483402
2023-01-26,96.1515,97.2175,95.0355,97.1677,30223140
2023-01-27,96.9585,99.9574,96.9585,99.0111,34002570
2023-01-30,97.1279,97.935,96.0468,96.5899,27324895
2023-01-31,96.5201,98.5228,96.4702,98.483,29978953
2023-02-01,98.3534,100.824,97.2275,100.067,35659907
2023-02-02,105.418,107.46,105.228,107.35,70137097
2023-02-03,102.558,107.42,102.209,104.401,65546013
2023-02-06,102.03,103.983,101.512,102.528,32115563
2023-02-07,102.847,107.789,102.748,107.252,49187897
2023-02-08,101.681,102.767,97.6809,99.0111,95086969
2023-02-09,99.6388,99.6687,93.2919,94.6668,119888056
2023-02-10,95.1053,96.4005,93.9096,94.2284,55180006
2023-02-13,94.3978,94.8562,93.501,94.2683,50257651
2023-02-14,94.0889,94.5025,91.9267,94.3381,54924507
2023-02-15,94.1487,96.7692,93.81,96.5899,50480818
2023-02-16,95.0256,97.3272,94.3978,95.165,42616549
2023-02-17,94.5074,95.2148,92.8733,94.0092,34408401
